           planet_id  distance_to_earth
14025769  c7b0ed3d05              0.021
321451     a7333d00d              0.021
21590972  bd92fa3eef              0.021
21182003  b04c409500              0.021
13061601  a872b54407              0.022
18896811  6614787d46              0.022
316988     a509a3b30              0.022
7634361   f81944cf4b              0.022
20785480  a35b5e5c6c              0.022
8295477    d886cd6fe              0.022
16607001  1b9f0ba15a              0.022
22900679  e819c09d8f              0.022
6320151   cd6f083bce              0.022
10799902  5ef3392f5f              0.022
796077    19dfacfea2              0.023
13502674  b6d7e7b06f              0.023
19772520  82804639cc              0.023
14902969  e44afae53f              0.023
26500538  5d2ee73b28              0.023
22527390  dbf947d64d              0.023
15716375  feb3885cc1              0.023
20390320  96960195d9              0.023
10213507  4bdb213679              0.023
14769085  dfed81efea              0.023
10737897  5ced454c51              0.023
15959851   6963727c6              0.023
20640996  9ea9a0a39e              0.024
15387846  f40a4c3db9              0.024
21723224  c1f0c45aaf              0.024
2042946   426625ad0f              0.024
18696550  5f8465ef05              0.024
4917327   9fcf4416c8              0.024
13287545  afc1549e1b              0.024
3269022   6a2ed4f401              0.024
19933351  87a612c950              0.024
15949450   63c98ab63              0.024
10053396  46ae8daf20              0.024
23478328  faea59682e              0.024
12701813  9cafb17f72              0.024
7977383    334af010e              0.025
3085982   644c15ebd2              0.025
2819255   5ba008de4e              0.025
10837627  6030958d04              0.025
19327156  73f906df7f              0.025
9889884   4162c21a65              0.025
12155755  8afd0f1bef              0.025
4134171   864b7e0ded              0.025
10872016  614b9f3fef              0.025
4446795   90807f532e              0.025
15301006  f12fbc838c              0.025
22383376  d74eb0e1be              0.025
28267247  969033a27a              0.025
30101577  d223cddc53              0.025
18251782  511bd90258              0.025
21137981  aed14e501b              0.025
5239916   aa3754fd83              0.025
12443964  94555c8c27              0.025
12506537  965afa1aa4              0.025
4044892   8369c6ad30              0.025
8729977   1ba371aac2              0.025
1200783   2714398512              0.026
16587163  1af8925fb1              0.026
6198371   c968b82a72              0.026
20512478  9a80b6ad3b              0.026
9235820   2c1ffa1278              0.026
17041725  29bc360f22              0.026
14800107  e0f0a65740              0.026
9370873   307d7bdd7d              0.026
13614678  ba6ac2ebb3              0.026
21733782  c2372a1628              0.026
18667017  5e8ac2b495              0.026
12470371  952f70c323              0.026
22627114  df3e8ebfd8              0.026
4942556   a099a794ec              0.026
6464126   d2057da99c              0.026
22003290  cafd076979              0.026
19069322  6b933b9064              0.026
2669884   56ccdcf753              0.026
25739150  4467482d70              0.026
23163538  f0a681a22b              0.027
21267890  b3128db782              0.027
26620034  610f4b4fcd              0.027
2154495   4601a04187              0.027
5791976   bc2ee031eb              0.027
14759219  df9a8611dd              0.027
20647898  9ef0edf046              0.027
20026562  8ab7c76c81              0.027
14253503  cf2e8be44d              0.027
5428730   b0717ebaa9              0.027
7443006   f1ddb7e1d0              0.027
15989052   78d9a8f9c              0.027
18467890  580dd92f44              0.027
5748371   bad79fdbe9              0.027
8841028   1f429321f3              0.027
19266855  7213faf72c              0.027
19872299  85c2d6fefc              0.027
16565079  1a44db07ea              0.027
16505482  18624f88d0              0.028
1277902   2988aece14              0.028
15611896  fb4400e436              0.028
18367903  54df0dd42d              0.028
8165503    9541b2b9f              0.028
494386    101043a780              0.028
6456015   d1cb425a0e              0.028
7599862   f6efaf8bc6              0.028
13741402  be7cb10751              0.028
6046050   c474ced982              0.028
533421    115f1b9d40              0.028
729969    17bc2d33ff              0.028
9204705   2b1d8115e2              0.028
1829135   3b7d1a03c1              0.028
17451097  370cb5a225              0.028
881735    1c9ca26866              0.028
418550     d98f97981              0.028
11603116  790f1c5db8              0.028
13080310  a90b8ccf2b              0.028
7716594   fac2083463              0.028
4387809   8e9c565850              0.028
23600092  fedcf83771              0.028
26810404  673ba9175a              0.029
250122     821df2c39              0.029
1389000   2d17c9b83f              0.029
11860318  816b7dd60d              0.029
29160016  b38fecb255              0.029
15377901  f3bc6337dd              0.029
177360     5c90afcd6              0.029
1527104   31a11e3a71              0.029
22121011  cec9fa2bf3              0.029
2754999   599000d82b              0.029
23287911  f4bcea4896              0.029
20993187  aa29f1873a              0.029
10055653  46c0e80537              0.029
5096471   a5a83dac1a              0.029
10740375  5d088d71b1              0.029
256297     8565d5a5b              0.029
2668863   56b906806a              0.030
1413695   2df815ecf2              0.030
5393972   af5101c91b              0.030
21859371  c64a8aa13b              0.030
19608418  7d2a6056c3              0.030
10838943  6039b69d32              0.030
12786512  9f64b7d9e6              0.030
20788196  a37b35650d              0.030
8696174   1a959e4374              0.030
19119749  6d47bbf89a              0.030
6846725   de7a84ef05              0.030
1163319   25cc82937e              0.030
22716154  e23149190f              0.030
15716049  fead45b6e4              0.030
16355578  13764d611a              0.030
5067123   a49aaceaeb              0.030
20137081  8e63efc86a              0.030
387702     c9738462c              0.030
14112161  ca85c5e8a5              0.031
5737274   ba5c7be893              0.031
19668482  7f2bc7536c              0.031
363257     bd48ca72a              0.031
16770939  20f2fe7de9              0.031
19082877  6c1a4dbb03              0.031
1606541   34350ddc99              0.031
18409567  5639fce4d6              0.031
8652000   191f6a6350              0.031
16771931  210081a342              0.031
22998667  eb48011cb0              0.031
7595153   f6d13b3a15              0.031
18246356  50e710c405              0.031
9218903   2b907c15f9              0.031
12304861  8fc5f7ecaf              0.031
4147332   86c2952b9c              0.031
19398135  766186551b              0.031
14922194  e4e531f8ae              0.032
14841073  e242d92911              0.032
13897285  c38823b1e6              0.032
22513610  db9e2b2f56              0.032
11364956  7136a14f75              0.032
30376475  db101269a5              0.032
15182498  ed5a7a1d7b              0.032
18034741  4a0c474d81              0.032
1348345   2bd5003a33              0.032
22713659  e20479c46f              0.032
9952482   43644e01a6              0.032
14895184  e3fc6e2750              0.032
5248417   aa7d72ec31              0.032
23439933  f9a7e3d0db              0.032
3056890   635a4e9eb6              0.032
21357804  b5f76c952b              0.032
16781179  214776421e              0.032
10870073  613b0d225f              0.032
22213398  d1c884ece0              0.032
20989884  aa0e627cc8              0.032
11744058  7d923b70dc              0.032
1156975   2597c137a9              0.032
22625461  df32a0df3c              0.033
20222631  911495dc77              0.033
18832415  63ef08ad75              0.033
22754620  e35ea1123e              0.033
3043101   62de3c1b83              0.033
14561567  d926ca3b39              0.033
8864664   200640e34e              0.033
18485013  58ab776d11              0.033
11171553  6aecf9895b              0.033
16616950  1bf49b32e0              0.033
1223853   27c362803a              0.033
19710135  807cbb7334              0.033
12000249  85da3bbd07              0.033
18854164  64b5365709              0.033
19004006  69934ebefd              0.033
15165412  ecca4c24b5              0.033
12358049  918f8abc06              0.033
11951787  8454b51d2a              0.033
3728471   7934340f7e              0.034
11108640  68e82d9753              0.034
9942015   4302193841              0.034
9859002   405a6e4702              0.034
20466762  990c5632e8              0.034
13201779  ace2b863c5              0.034
18803958  6308c9bf46              0.034
14844254  e25fe965cb              0.034
19301437  73308d5723              0.034
22348711  d62fa047d2              0.034
23383392  f7ce9a1d51              0.034
13078679  a909a115e4              0.034
9576352   372cecd89e              0.034
23318910  f5b14bf152              0.034
11606710  790f1bb29c              0.034
3618821   7591cdc100              0.034
16107876   b667d1d97              0.034
3477163   710496ed6a              0.034
11740214  7d74071dfd              0.034
8156758    9083ddf9c              0.035
4116457   85c6e7b727              0.035
13975834  c620da7819              0.035
17285170  31af1357b1              0.035
12849146  a19d5283c0              0.035
1862993   3c95e17eb2              0.035
17495410  387d2363ac              0.035
12416931  937df1da35              0.035
19742514  8174751736              0.035
908224    1d867cf619              0.035
1551283   326f8f861d              0.035
4057777   83da60e788              0.035
8470522   134595d466              0.035
8315804    e2b95a07f              0.035
14184543  ccd95603c4              0.035
3292151   6b00f95cb0              0.035
10565794  57465fa4de              0.035
15890530   45528940e              0.035
13297952  b021d61e9c              0.035
17886855  453fe0abe5              0.035
15560207  f9a0b36d5b              0.035
14326289  d18e3c76fb              0.035
25449503  3b00b280b0              0.035
11755054  7df8e3dda1              0.035
2592220   5449702b74              0.035
29584061  c153b6f249              0.035
846274    1b80ffd15f              0.036
17957346  4788e49a9c              0.036
18574580  5b8602c801              0.036
5279198   ab94952aac              0.036
2286699   4a6397d18f              0.036
22582713  dddaf858f4              0.036
10060955  46ed48677f              0.036
21327273  b4f3249bde              0.036
5542246   b42192e760              0.036
16406612  1529f70ed6              0.036
5292776   ac079efc0b              0.036
4717239   994a65d4b3              0.036
16690690  1e67028445              0.036
11255903  6db1e6abaf              0.036
17902317  45b5a0dd59              0.036
20619608  9e10a1e3c3              0.037
16894494  24f435a5e1              0.037
17764395  413389114c              0.037
13522255  b760127477              0.037
14762707  dfb142215a              0.037
21044489  abd62bab46              0.037
20174402  8f992d608f              0.037
884168    1cc0a8f4eb              0.037
17449090  36f8ad87ab              0.037
22553952  dcdb99bb6c              0.037
17434725  367d785dac              0.037
3705347   7861909377              0.037
20010629  8a3c110c61              0.037
2493855   510625ddff              0.037
12777616  9f25dfb28b              0.037
6505166   d351c3fd5e              0.037
7427223   f15bb0422c              0.038
4852690   9db87fd9ba              0.038
5568856   b4feb4b721              0.038
4893991   9f0fb52dbf              0.038
8960963   2331bbdca3              0.038
16878421  246f56159a              0.038
1491667   307face4c8              0.038
3851041   7d1f8accd1              0.038
11588624  789782a4e9              0.038
6928150   e10bc88757              0.038
18219326  4fff1fd204              0.038
18066777  4b0b835859              0.038
6729045   daad2c2839              0.038
9337588   2f5e79a94c              0.038
20124297  8deca3c815              0.038
22918263  e8b06c9074              0.038
19280560  72791fad4c              0.038
20663007  9f6596089c              0.038
15253373  ef947ea623              0.038
920391    1debbbb13b              0.039
23436638  f98c405962              0.039
10778810  5e430c41b9              0.039
16847683  237393c6c2              0.039
19101678  6ca2672b63              0.039
23368312  f74f612d4f              0.039
3261157   69fc01e8a5              0.039
22096892  ce03cdf8f7              0.039
1311635   2ab01425b4              0.039
10153877  49ef7354eb              0.039
2517890   51cc423d28              0.039
20545058  9b8eea0327              0.039
11308327  6f867f49cb              0.039
5143185   a72e347ea8              0.039
8930080   2225a9913e              0.039
1679149   3699edd171              0.039
7730870   fb3514a0ca              0.039
30031238  cfddb97bc5              0.039
7367785   ef5a43ec22              0.039
17761854  4120bc1ce8              0.039
11825027  8045136984              0.039
5896333   bf9f21e95e              0.039
10159257  4a20a8bc05              0.039
16480695  1789956bc4              0.039
10137583  4963ed22d7              0.039
5768000   bb72cbb04a              0.039
3997831   81dd888977              0.039
3719566   78e7debca6              0.039
10428984  52d583fa34              0.040
13365390  b240cd2ca2              0.040
3627582   75eb757fd0              0.040
11025719  664d196f0f              0.040
3599610   74ef171874              0.040
9540816   35faede45c              0.040
9248590   2c8f11e5f4              0.040
20170662  8f64741d14              0.040
18181715  4ed6a29f7e              0.040
14381813  d353d0c3cf              0.040
14316144  d12ed6db67              0.040
8671552   19c8aa1dc6              0.040
18159980  4e0b627919              0.040
12085247  88b1dbd24f              0.040
13958058  c57a3efddc              0.040
13683092  bc92176c11              0.040
4462287   9101c75f10              0.040
17888223  453a19b3b8              0.040
22806202  e51fa29d42              0.040
19060677  6b5f0f6888              0.040
21281134  b389cf3d32              0.040
11542800  771b932bfc              0.040
3970204   80faf09e4e              0.040
8030704    4f0399388              0.041
14502924  d737de8c25              0.041
12958925  a5088d62bd              0.041
20534743  9b2a1e4924              0.041
14507269  d76f71dba3              0.041
6918359   e0c79680f2              0.041
22866784  e6fd0576f9              0.041
15287143  f0be8216fb              0.041
16820339  228c4f3a18              0.041
9444463   32dccf6add              0.041
1781313   39ef3fac30              0.041
18416670  567c61a79b              0.041
6720956   da6ad8397d              0.041
16813114  2261bb6b36              0.041
17418711  36107aeddb              0.041
20653606  9f22a40d44              0.041
8955125   22ee80449c              0.041
7875029   ffe4460003              0.042
15686329  fdb686ccc7              0.042
19633733  7dedb1c589              0.042
2682245   5734be2397              0.042
23181500  f13c347cff              0.042
12268744  8e9de7b7e2              0.042
225672     760727257              0.042
1849923   3c12131107              0.042
19204220  7015f898ad              0.042
369104     bfe967c55              0.042
8610779   17c96f0066              0.042
1622516   34bf87dfdc              0.042
22312117  d4fe67961d              0.042
16917008  25b2d2c6c9              0.042
23487662  fb35c4d7db              0.042
20827380  a4c167350b              0.042
5779613   bbd0079ab9              0.042
8374524   1022d29342              0.042
8967035   235e4f13f4              0.042
5638228   b73bf083b7              0.042
22184048  d0d7e7eaee              0.042
16619795  1c1835b729              0.042
2324175   4b81ad53e8              0.042
7443663   f1dabf202e              0.042
7531609   f4b8a38c86              0.042
29097174  b1828c3c82              0.042
3018765   621d4dd950              0.043
17338144  3372ea6703              0.043
10142546  49819b5f5c              0.043
10109555  487ce10417              0.043
588559    131ab00722              0.043
14281464  d01bc9d3f8              0.043
18023358  49a4290a32              0.043
21051748  ac13c44776              0.043
14999080  e763c8ee0a              0.043
13755399  bf041738f6              0.043
7933546    1cac28c4a              0.043
1598677   33e477cfc4              0.043
12825359  a0c96d93d1              0.043
4964866   a1553c2818              0.043
17938647  46e7df7cc6              0.043
10101194  484148d98e              0.043
18212286  4fc2ed434f              0.043
13882336  c3031e88f7              0.043
14667098  dc8b8f1fa0              0.043
29775065  c78dcb5c50              0.043
87846      2d954ad1a              0.043
8191145    a26a2a32e              0.043
18072571  4b3ed35c13              0.043
12188649  8c0162d01b              0.043
18967806  684d186037              0.044
4188426   881b6204d5              0.044
20337436  94df70bb84              0.044
18660564  5e4448bea6              0.044
22325520  d57b59a39b              0.044
21755280  c2ec03c095              0.044
23726922   2fc0a907f              0.044
9938311   42e69b714b              0.044
11157110  6a94686f1c              0.044
9037778   25b185e089              0.044
7912779    11dea3d60              0.044
21948140  c93ec2c8b5              0.044
21319011  b4c5c17a3c              0.044
12300552  8fab160574              0.044
2035630   42146c780b              0.044
9958661   4385bd7075              0.044
18384796  55668f14ab              0.044
10162428  4a2298f243              0.045
24969447  2b5f9bbe48              0.045
6999849   e378448783              0.045
17619567  3c9075692d              0.045
12326234  90908bc56d              0.045
15150059  ec4abc63b5              0.045
17907308  45df01e331              0.045
9862647   40727373ec              0.045
18755560  617af863a9              0.045
11270707  6e46afdc4b              0.045
10424017  52ac9626ee              0.045
3244584   697fbeac5f              0.045
11801984  7f72fac651              0.046
22555700  dce1c15d17              0.046
141945     49df66d4d              0.046
11872682  81d0cc002a              0.046
3527756   72a4de6bbc              0.046
5709189   b98df045d0              0.046
17927608  4692ef7402              0.046
9373544   309242a7e3              0.046
6904131   e051275643              0.046
2850043   5c972fae19              0.046
19740014  817dfaaaa1              0.046
8138054    86d740e0c              0.046
3805032   7bab189729              0.046
20528880  9b1aaf1336              0.046
13441613  b4c0eba84c              0.046
6949699   e1da7a7a8a              0.046
10887869  61cd78a509              0.046
14232748  ce7e9aecf8              0.046
408613     d4869336c              0.046
2391829   4dc309e84b              0.046
13713712  bda832266b              0.046
11274641  6e59f3b511              0.046
5887674   bf52a5bfea              0.046
721847    17768a0800              0.046
4659583   976a4beee4              0.046
14917163  e4b854ce04              0.047
15066921  e998e3c3d8              0.047
4188081   881dd43c0b              0.047
1023962   214030a2e5              0.047
4124915   860c9bd7b0              0.047
3501135   71d399698e              0.047
2797524   5ae91b44fd              0.047
20127754  8e133134b0              0.047
16424311  15b280b2ed              0.047
2126202   450eedc018              0.047
20447003  986c08a4b5              0.047
10501862  552661d362              0.047
15713721  fe99398e20              0.047
15373512  f38d9e39c6              0.047
10781357  5e583ab413              0.047
5382892   aef4942583              0.047
9349183   2fc0fdea06              0.047
6931166   e14151fe50              0.047
21458878  b952bae032              0.047
11448270  740a1764a1              0.047
6890497   dff30ca8d0              0.047
1626938   34e5c46b2b              0.048
5349805   adc3885399              0.048
17323696  32e8ca77cd              0.048
561238    123d87c884              0.048
18365759  54bf4808bb              0.048
2107279   4477fdfce0              0.048
14540694  d87e839123              0.048
15148410  ec39947adf              0.048
331327     ac26018c6              0.048
10874982  61644a1ff0              0.048
6494645   d308e910c6              0.048
2746109   59458b1192              0.048
21231050  b1e1d58a76              0.048
12617857  99f37cf2f4              0.048
14020902  c79743da69              0.048
18993118  691aabf896              0.048
16933987  2646e2f844              0.048
2166025   46548b8ad4              0.048
6429852   d0ef84d40a              0.048
9052531   2621b860e5              0.048
15035117  e887cc0286              0.048
21327230  b4e4e21608              0.048
17434697  36867594d5              0.049
20157915  8f0bedca8c              0.049
17328301  3320d969c9              0.049
17888007  45421c7549              0.049
23230025  f2dcc82968              0.049
1475683   2fece904eb              0.049
5707528   b971196b13              0.049
8434426   121450c567              0.049
20468025  99197ec2f5              0.049
21230979  b1e53d2486              0.049
3107105   64faa4534a              0.049
15729709  ff1f3ac1af              0.049
866143    1c28cae946              0.049
15934438   5c5e9312f              0.049
7695070   fa1148084b              0.049
20363636  95bcc41a19              0.050
8170509    97bcb1e44              0.050
21352484  b5dafe9cc8              0.050
13819200  c11f49c1ef              0.050
2500918   5144ab2c64              0.050
15130094  eba294b3cd              0.050
21809308  c4ace671f4              0.050
19236299  710671b2f7              0.050
8312793    e14850838              0.050
18721071  605f279297              0.050
20968077  a9475cc385              0.050
17044224  29cde6fadc              0.050
10040373  4636fe82f1              0.050
4388474   8e9e9be580              0.050
22232275  d26b4bc087              0.050
3177486   6738101392              0.050
16424255  15b03b8ab2              0.051
2193920   4751dbbe59              0.051
14034462  c7fead83ef              0.051
10428312  52b711e018              0.051
10899548  620b93cf5b              0.051
11170751  6b09855ebb              0.051
15298679  f11e2ce379              0.051
4380502   8e5d05325a              0.051
19838452  84b3059100              0.051
10028136  45e12d3da5              0.051
22431172  d8cf667264              0.051
3157605   66a457c247              0.051
16600221  1b6aa9cbef              0.051
19919394  8743607a3c              0.051
21330203  b518e0bc74              0.051
3532663   72d5faa6e9              0.051
22706195  e1cdf5b91b              0.051
8036700    528264d0f              0.051
5216635   a9870edf5f              0.051
21470485  b9a82f004f              0.051
7217380   ea86ad2f47              0.051
11208148  6c2f810b75              0.051
7415691   f0f4b9d8c5              0.051
19880266  85fcf4e7bd              0.051
5403035   af933b9e1e              0.051
10652812  5a1c6f59b5              0.051
10792973  5eb108e36b              0.052
6789180   dc9835e252              0.052
394945     cd6064993              0.052
15817984   1faa55032              0.052
3198365   67f190ef0e              0.052
16368139  13dd1caf19              0.052
914019    1dad3ea06d              0.052
15616626  fb72a0fd39              0.052
7221758   eaaaef972a              0.052
14063353  c9038ac939              0.052
4051838   83a78ee356              0.052
1230909   280489cd15              0.052
3813560   7be906284b              0.052
21762115  c31d8d5e6c              0.052
5393565   af3c44a0f7              0.052
17419857  361c146daf              0.052
12816001  a0767e2195              0.052
23053021  ed1fdd1092              0.052
22463184  d9f62dd947              0.052
22073059  cd39129b75              0.053
1406901   2dbb15b8dd              0.053
7331807   ee3a73f682              0.053
2765972   59d5c991d5              0.053
16470167  172a8d8db7              0.053
10967155  644df060f4              0.053
4470907   914dd8f258              0.053
19178076  6f31b897ad              0.053
14896406  e4005fc56d              0.053
18658728  5e558a063c              0.053
11127172  69a059ed80              0.053
3490117   7171575d5c              0.053
12947470  a4bf330e13              0.053
22362677  d698a5ea43              0.053
5778756   bbcc8ecc8f              0.053
15363092  f3362f7f27              0.053
728071    17a21b3ed5              0.053
10140012  497ea7b7d2              0.053
19937010  87d5b27228              0.053
20978697  a9b95c1c81              0.053
3372869   6da048a2d1              0.053
8601893   177fbf31d4              0.053
16683535  1e1b4b2709              0.053
4406973   8f3803ea52              0.054
6830955   ddf61ee3d9              0.054
15253454  efa4cda5ce              0.054
3344616   6ca9a2c6c0              0.054
6706902   d9e714b975              0.054
13040082  a7b039000b              0.054
22336192  d5c6fa6df6              0.054
12423075  93c23fb0c5              0.054
3865413   7d93263891              0.054
212144     6e76cbbac              0.054
10968885  645695b512              0.054
15625816  fbbc3aee3a              0.054
17668189  3e1f00e9d9              0.054
